0,1,2
-1453.706,1,55517
-1442.894,1,55410
-1432.093,1,55434
-1421.304,1,55649
-1410.526,1,55663
-1399.761,1,55658
-1389.006,1,55734
-1378.263,1,55856
-1367.532,1,55988
-1356.812,1,56088
-1346.104,1,55970
-1335.407,1,56198
-1324.722,1,56272
-1314.048,1,56057
-1303.385,1,56096
-1292.734,1,56060
-1282.094,1,56284
-1271.465,1,56520
-1260.848,1,56520
-1250.243,1,56500
-1239.648,1,56486
-1229.065,1,56623
-1218.493,1,56636
-1207.932,1,56938
-1197.383,1,56944
-1186.844,1,56626
-1176.317,1,56719
-1165.801,1,56583
-1155.296,1,56801
-1144.803,1,56832
-1134.320,1,56905
-1123.849,1,56853
-1113.389,1,56897
-1102.939,1,56742
-1092.501,1,56921
-1082.074,1,56992
-1071.658,1,57064
-1061.253,1,57042
-1050.858,1,57194
-1040.475,1,57311
-1030.103,1,57111
-1019.742,1,57129
-1009.391,1,57099
-999.052,1,57390
-988.723,1,57512
-978.405,1,57527
-968.098,1,57423
-957.802,1,57560
-947.517,1,57560
-937.242,1,57636
-926.979,1,57477
-916.726,1,57689
-906.483,1,57613
-896.252,1,57689
-886.031,1,57436
-875.821,1,57678
-865.621,1,57814
-855.432,1,57844
-845.254,1,57698
-835.087,1,57813
-824.930,1,57824
-814.783,1,58126
-804.648,1,58136
-794.522,1,58292
-784.408,1,58114
-774.304,1,58085
-764.210,1,58096
-754.127,1,58098
-744.054,1,58214
-733.992,1,58240
-723.940,1,58354
-713.899,1,58377
-703.868,1,58529
-693.847,1,58439
-683.837,1,58418
-673.837,1,58431
-663.848,1,58664
-653.869,1,58676
-643.900,1,58766
-633.941,1,58832
-623.993,1,59175
-614.055,1,59022
-604.127,1,59171
-594.210,1,59257
-584.303,1,59501
-574.405,1,59656
-564.519,1,59662
-554.642,1,60094
-544.775,1,60270
-534.919,1,60541
-525.073,1,60752
-515.236,1,60523
-505.410,1,60083
-495.594,1,60148
-485.788,1,60259
-475.992,1,60603
-466.206,1,60711
-456.431,1,60820
-446.665,1,61128
-436.909,1,61323
-427.163,1,61822
-417.427,1,62256
-407.701,1,62430
-397.985,1,62814
-388.279,1,63154
-378.582,1,63508
-368.896,1,64058
-359.219,1,64320
-349.553,1,64940
-339.896,1,65368
-330.249,1,65873
-320.611,1,66395
-310.984,1,67242
-301.366,1,67907
-291.758,1,68850
-282.160,1,69807
-272.572,1,70620
-262.993,1,71579
-253.424,1,72860
-243.864,1,74310
-234.315,1,75857
-224.775,1,77583
-215.244,1,79315
-205.723,1,81456
-196.212,1,84261
-186.711,1,86658
-177.219,1,89253
-167.736,1,93157
-158.263,1,98287
-148.800,1,102778
-139.346,1,109370
-129.902,1,116379
-120.467,1,124215
-111.042,1,134048
-101.626,1,146769
-92.219,1,159654
-82.822,1,176394
-73.435,1,201248
-64.057,1,231987
-54.688,1,280597
-45.329,1,403789
-35.979,1,1082023
-26.638,1,3319165
-17.307,1,4510844
-7.985,1,6549683
1.328,1,6523345
10.631,1,6521254
19.925,1,6518250
29.210,1,6516461
38.486,1,5087775
47.752,1,3939111
57.009,1,3389835
66.257,1,1053864
75.496,1,274941
84.725,1,228631
93.945,1,309445
103.156,1,418474
112.358,1,483810
121.551,1,485422
130.735,1,458799
139.910,1,433833
149.075,1,418847
158.232,1,405635
167.379,1,393579
176.517,1,377655
185.647,1,361548
194.767,1,346469
203.878,1,330531
212.981,1,314447
222.074,1,298373
231.158,1,279780
240.234,1,264492
249.300,1,250628
258.358,1,239354
267.406,1,229984
276.446,1,223443
285.477,1,216770
294.498,1,209371
303.512,1,202660
312.516,1,194933
321.511,1,187846
330.498,1,182766
339.475,1,178599
348.444,1,176938
357.404,1,176544
366.356,1,176140
375.298,1,176598
384.232,1,177941
393.157,1,177775
402.073,1,178641
410.981,1,178563
419.880,1,178209
428.770,1,178877
437.652,1,179021
446.525,1,179708
455.389,1,180080
464.245,1,181044
473.092,1,181805
481.930,1,182247
490.760,1,183468
499.581,1,183936
508.394,1,185937
517.198,1,187246
525.994,1,189574
534.781,1,191001
543.559,1,192399
552.329,1,192831
561.091,1,193557
569.844,1,195153
578.588,1,195969
587.324,1,196749
596.052,1,196568
604.771,1,196224
613.482,1,195585
622.184,1,195304
630.878,1,195360
639.564,1,195294
648.241,1,196372
656.910,1,197588
665.570,1,199376
674.223,1,124105
682.866,1,202174
691.502,1,205223
700.129,1,207387
708.748,1,209502
717.359,1,211468
725.961,1,213847
734.555,1,216101
743.141,1,217950
751.719,1,219936
760.288,1,222222
768.849,1,224940
777.402,1,228698
785.947,1,232649
794.484,1,239491
803.012,1,250757
811.533,1,261964
820.045,1,273025
828.549,1,283531
837.045,1,291969
845.533,1,302009
854.013,1,311459
862.484,1,315821
870.948,1,309342
